id,date,time,severity,casualties,number_of_casualties,number_of_vehicles,latitude,longitude
200101FH00956,2001-11-26,23:20:00,fatal,Car occupant,2,2,51.491222,-0.236318
200101GD00090,2001-01-22,12:00:00,fatal,Pedestrian,1,1,51.548543,-0.06203
200101GD00156,2001-02-05,06:58:00,fatal,Motorcycle rider/passenger,1,2,51.554578,-0.084566
200101GD00293,2001-03-20,19:40:00,fatal,Pedestrian,1,1,51.561879,-0.074592
200101GD00583,2001-06-08,02:25:00,fatal,Cyclist,1,2,51.548649,-0.019908
200101GD00811,2001-08-12,00:38:00,fatal,Pedestrian,Motorcycle rider/passenger,2,2,51.560092,-0.091836
200101GD01009,2001-09-30,17:02:00,fatal,Car occupant,Bus/coach/minibus occupant,3,4,51.550556,-0.05329
200101HT00591,2001-05-16,20:02:00,fatal,Pedestrian,1,1,51.526895,-0.025754
200101HT00944,2001-08-25,18:05:00,fatal,Car occupant,2,1,51.511714,-0.037508
200101HT01015,2001-09-17,08:10:00,fatal,Pedestrian,1,1,51.523598,-0.038294
200101JC00359,2001-05-22,17:35:00,fatal,Pedestrian,1,1,51.600556,-0.010431
200101JC00419,2001-06-18,10:51:00,fatal,Car occupant,Motorcycle rider/passenger,2,2,51.552143,0.002024
200101JC00528,2001-07-21,12:30:00,fatal,Motorcycle rider/passenger,1,1,51.567435,0.007025
200101JC00675,2001-09-10,08:21:00,fatal,Bus/coach/minibus occupant,18,2,51.567048,-0.033827
200101JC00687,2001-09-13,10:15:00,fatal,Pedestrian,1,1,51.567058,-0.023726
200101JC00748,2001-10-07,22:32:00,fatal,Car occupant,3,1,51.600559,-0.015918
200101JC00894,2001-11-20,15:01:00,fatal,Car occupant,4,2,51.563074,-0.043521
200101JC09061,2001-11-08,02:40:00,fatal,Pedestrian,1,1,51.59996,-0.001793
200101JI00037,2001-01-17,15:10:00,fatal,Pedestrian,Car occupant,2,1,51.556423,0.02515
200101JI00192,2001-02-19,00:40:00,fatal,Motorcycle rider/passenger,1,1,51.571484,0.063917
200101JI00362,2001-04-21,21:38:00,fatal,Pedestrian,1,1,51.584473,0.020334
200101KG00192,2001-04-04,16:40:00,fatal,Car occupant,1,2,51.524832,0.108228
200101KG00722,2001-12-17,13:25:00,fatal,Pedestrian,1,1,51.536223,0.069532
200101KO00038,2001-01-10,14:42:00,fatal,Pedestrian,1,1,51.540435,-0.002238
200101KO00127,2001-02-02,14:10:00,fatal,Pedestrian,1,2,51.52314,0.06692
200101KO00979,2001-10-07,19:10:00,fatal,Car occupant,7,2,51.55589,0.045467
200101KO01075,2001-10-30,17:15:00,fatal,Motorcycle rider/passenger,1,2,51.513707,0.009418
200101KO01159,2001-12-02,10:53:00,fatal,Car occupant,2,2,51.499912,0.063275
200101KO01215,2001-12-23,01:13:00,fatal,Pedestrian,1,1,51.517057,0.034213
200101KO01218,2001-12-23,23:05:00,fatal,Pedestrian,1,1,51.517331,0.023559
200101KO01219,2001-12-24,22:20:00,fatal,Pedestrian,1,1,51.537692,0.005716
200101LX00004,2001-01-02,09:02:00,fatal,Pedestrian,1,1,51.450252,-0.139742
200101LX00014,2001-01-07,15:53:00,fatal,Pedestrian,Car occupant,3,2,51.493228,-0.111053
200101LX00041,2001-01-11,21:50:00,fatal,Pedestrian,Car occupant,2,1,51.462948,-0.140809
200101LX00068,2001-01-17,16:17:00,fatal,Pedestrian,1,1,51.423186,-0.128615
200101LX00253,2001-02-19,02:52:00,fatal,Pedestrian,1,1,51.45158,-0.121553
200101LX00291,2001-02-23,14:15:00,fatal,Car occupant,Bus/coach/minibus occupant,2,2,51.430369,-0.088903
